問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
N21578189,入札中,防衛省/陸上自衛隊/久里浜駐屯地（システム通信・サイバー学校）,その他,神奈川県,（ＯＣ３３０）生成AIと脳ほか１７件,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-18,2026-02-25,,,,,,,,,,○
N21575485,入札中,長野県,都道府県,長野県,令和8年度生成AIによる業務効率化推進事業業務,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-18,2026-03-19,,,,,,,,,,○
N21571699,入札中,国土交通省/大阪空港事務所,その他,"大阪府,兵庫県",令和８年度 但馬ＲＡＧ局舎発電設備保守業務,⑤運用,,FY2025,競争・公募,2026-02-17,2026-03-04,,,,,,,,,,○
N21571697,入札中,国土交通省/大阪空港事務所,その他,"大阪府,兵庫県",令和８年度 但馬ＲＡＧ機械設備保全業務,④構築,AI（その他）,FY2025,競争・公募,2026-02-17,2026-03-04,,,,,,,,,,○
N21570883,入札中,財務省/東京税関,その他,東京都,税関業務における生成AIの活用に関する調査研究及び実証実験,③PoC,,FY2025,競争・公募,2026-02-17,2026-03-12,,,,,,,,,,○
N21570024,入札中,財務省,国,東京都,財務省「源内」における生成AI アプリケーション構築等にかかる検証業務,③PoC,,FY2025,競争・公募,2026-02-17,2026-03-23,,,,,,,,,,○
N21568096,入札中,会計検査院,国,東京都,生成ＡＩ活用のためのアプリケーション運用保守等業務,⑤運用,,FY2025,競争・公募,2026-02-17,2026-03-25,,,,,,,,,,○
N21562799,入札中,東京都,都道府県,東京都,緊急避妊薬処方に係る医療機関検索システム及び東京都チャットボット総合案内「妊娠したかも相談＠東京」外部リンクコンテンツ運用保守業務委託,⑤運用,,FY2025,競争・公募,2026-02-16,2026-03-09,,,,,,,,,,○
N21562751,入札中,国土交通省/東京航空局,,"北海道,宮城県,東京都,長野県",【東京航空局】令和8年度RAG空港用ITV装置定期点検作業,,,,競争・公募,2026-02-16,2026-03-18,,,,,,,,ノイズ,,
N21561993,入札中,富山県市町村/小矢部市,市区町村,富山県,【補助金】中小企業等生成AI活用支援事業補助金について【小矢部市】,④構築,活用支援・コンサル,FY2025,競争・公募,2026-02-16,,,,,,,,,,,○
N21558317,入札中,国土交通省/大阪航空局,,大阪府,令和8年度RAG空港用ITV装置定期点検作業,,,,競争・公募,2026-02-16,2026-03-25,,,,,,,,ノイズ,,
N21557717,入札中,国土交通省,国,東京都,生成ＡＩ利活用検討業務,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-16,2026-03-09,,,,,,,,,,○
N21555128,入札中,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,農業生成AIにてCoTから回答のための観点を抽出する手法の開発,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-16,2026-02-18,,,,,,,,,,○
N21547653,入札中,その他大阪府市町村/柏原市,市区町村,大阪府,AIチャットボット導入業務 公開型【柏原市】,④構築,チャットボット,FY2025,競争・公募,2026-02-13,2026-03-13,,,,,,,,,,○
N21547410,入札中,名古屋市,市区町村,愛知県,生成ＡＩサービス提供委託【名古屋市】,④構築,生成AI（その他）,FY2025,競争・公募,2026-02-13,2026-03-04,,,,,,,,,,○
N21543193,入札中,その他愛知県市町村/豊田市,市区町村,愛知県,ＲＡＧ機能を有する生成ＡＩ賃貸借【豊田市】,⑤運用,,FY2025,競争・公募,2026-02-13,2026-03-05,,,,,,,,,,○
