入札日,開札日,ステータス,フェーズ,サブカテゴリ,機関タイプ,発注機関,発注地域,件名,年度,入札種別,落札会社名,落札金額,予定金額,応札企業,応札社数,リンク
2026-04-21,,公募中,④構築,生成AI（その他）,国,衆議院,東京都,衆議院法制局における生成AI利活用に関する調査及び利用支援業務,FY2026,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQxNTc4Mg==
2026-04-01,2025-04-08,落札済,⑤運用,,国,外務省,東京都,会計手続システムにおけるチャットボット機能の運用保守業務一式,FY2026,,株式会社日立製作所,20996800,20996800,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTYyMDQ0Mg==
2026-03-27,,公募中,⑤運用,,市区町村,神戸市,兵庫県,生成AIを活用した仕様書作成支援クラウドサービスの構築・運用業務（3月3日（火曜）まで）,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMjY1OQ==
2026-03-25,,公募中,④構築,教育・学校AI,都道府県,岐阜県,岐阜県,【令和８年度】教育用生成AI文章添削システムの調達について,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMDQxMw==
2026-03-25,2025-03-21,落札済,④構築,教育・学校AI,都道府県,岐阜県,岐阜県,教育用生成AI文章添削システムの調達について,FY2025,,不調 （ くじ引き結果 ）,,,{応札企業名＝株式会社ナガセ、応札結果・備考＝予定価格超過、応札金額＝10800000},3,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNTY0OTQ4MA==
2026-03-25,,公募中,⑤運用,,国,会計検査院,東京都,生成ＡＩ活用のためのアプリケーション運用保守等業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU2ODA5Ng==
2026-03-23,,公募中,③PoC,,国,財務省,東京都,財務省「源内」における生成AI アプリケーション構築等にかかる検証業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3MDAyNA==
2026-03-23,,公募中,⑤運用,,国,デジタル庁,東京都,令和8年度国・地方共通相談チャットボット運用・保守,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUxNzA1OQ==
2026-03-19,2025-03-26,落札済,④構築,生成AI（その他）,独法,独立行政法人農業・食品産業技術総合研究機構,茨城県,労働者派遣業務（生成AI開発のためのデータ収集とモデル構築に係るプログラム開発支援業務）,FY2025,,株式会社潮見サービス,3635060,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNVIyNjQ2Mzc3OQ==
2026-03-19,,公募中,④構築,生成AI（その他）,市区町村,神戸市,兵庫県,生成AI自動音声応答サービスを活用した税務部電話問合せ改善業務【神戸市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3NjYyNg==
2026-03-19,,公募中,④構築,生成AI（その他）,都道府県,長野県,長野県,令和8年度生成AIによる業務効率化推進事業業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3NTQ4NQ==
2026-03-19,,公募中,④構築,生成AI（その他）,独法,独立行政法人新エネルギー・産業技術総合開発機構,神奈川県,ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデルの開発（GENIAC）,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQyODY0OA==
2026-03-17,,公募中,④構築,生成AIサービス導入,市区町村,福島県市町村/田村市,福島県,【8-651】田村市新病院 生成ＡＩシステム導入業務委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMDA4Mw==
2026-03-16,,公募中,④構築,生成AIサービス導入,市区町村,日本下水道事業団,東京都,令和８年度 生成AI導入業務,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU5NDM2NA==
2026-03-13,,公募中,④構築,チャットボット,市区町村,その他大阪府市町村/柏原市,大阪府,AIチャットボット導入業務 公開型【柏原市】,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU0NzY1Mw==
2026-03-13,,公募中,④構築,活用支援・コンサル,都道府県,東京都,東京都,生成AI利活用支援等委託,FY2025,競争・公募,,,,,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ2MDU0MA==
