入札日,フェーズ,機関タイプ,発注機関,件名,入札種別,予定金額,リンク
2026-02-25,④構築,国,防衛省/陸上自衛隊/久里浜駐屯地（システム通信・サイバー学校）,（ＯＣ３３０）生成AIと脳ほか１７件,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3ODE4OQ==
2026-02-26,⑤運用,都道府県,三重県,令和８年度みえ産廃申請案内チャットボットサービス運用業務委託,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwMDk1OQ==
2026-02-27,⑤運用,国,防衛省/陸上自衛隊/久里浜駐屯地（システム通信・サイバー学校）,ライセンス購入（生成ＡＩ forアカデミー）,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwNDEyMQ==
2026-02-27,③PoC,国,国土交通省,まちづくりDXの推進に向けた衛星データを活用したモデル作成実証および生成AI技術を用いた3D都市モデルの作成手法の開発業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwNTg3NA==
2026-02-27,④構築,その他,日本郵政グループ/株式会社ゆうちょ銀行,戦略的システム利活用・体制強化と生成AI活用人材の共創的育成に係るアドバイザリー・サービスの委託,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ0MjcwNA==
2026-03-03,④構築,市区町村,その他兵庫県市町村/上郡町,住民問い合わせ対応AIチャットボットシステム調達【上郡町】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUwMzQ0Mw==
2026-03-05,⑤運用,市区町村,その他愛知県市町村/豊田市,ＲＡＧ機能を有する生成ＡＩ賃貸借【豊田市】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU0MzE5Mw==
2026-03-05,④構築,市区町村,沖縄県市町村/那覇市,令和8年度那覇市立中学校生成AI英会話システム導入業務【那覇市】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM4NjQ4OA==
2026-03-05,⑤運用,独法,地方公共団体金融機構,令和８年度生成AIサービス利用環境提供業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTM4NjM1OQ==
2026-03-06,④構築,国,国土交通省/中国地方整備局,令和８年度機能統合型生成AIサービス,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ4ODk4Nw==
2026-03-06,⑤運用,独法,独立行政法人日本原子力研究開発機構,生成AI基盤システムの企画・開発・運用に係る労働者派遣契約,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTMwNDM0Nw==
2026-03-09,④構築,都道府県,兵庫県,文章生成AIクラウドサービス調達,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwNTM3Ng==
2026-03-09,④構築,国,国土交通省,生成ＡＩ利活用検討業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU1NzcxNw==
2026-03-09,③PoC,国,金融庁,生成AIを活用した地域金融機関のDX化に向けた実証研究事業,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUyMzU2MA==
2026-03-11,④構築,市区町村,山形県市町村/長井市,長井市生成AIサービス提供業務【長井市】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU4MTcxMA==
2026-03-11,③PoC,国,デジタル庁,ガバメントAIに係る生成AI利用環境の大規模導入実証事業,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUxNzM4Mw==
2026-03-12,③PoC,国,財務省/東京税関,税関業務における生成AIの活用に関する調査研究及び実証実験,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3MDg4Mw==
2026-03-13,④構築,市区町村,その他大阪府市町村/柏原市,AIチャットボット導入業務 公開型【柏原市】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU0NzY1Mw==
2026-03-13,④構築,都道府県,東京都,生成AI利活用支援等委託,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQ2MDU0MA==
2026-03-16,④構築,市区町村,日本下水道事業団,令和８年度 生成AI導入業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU5NDM2NA==
2026-03-17,④構築,市区町村,福島県市町村/田村市,【8-651】田村市新病院 生成ＡＩシステム導入業務委託,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMDA4Mw==
2026-03-19,④構築,市区町村,神戸市,生成AI自動音声応答サービスを活用した税務部電話問合せ改善業務【神戸市】,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3NjYyNg==
2026-03-19,④構築,都道府県,長野県,令和8年度生成AIによる業務効率化推進事業業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3NTQ4NQ==
2026-03-19,④構築,独法,独立行政法人新エネルギー・産業技術総合開発機構,ポスト5G情報通信システム基盤強化研究開発事業／競争力ある生成AI基盤モデルの開発（GENIAC）,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQyODY0OA==
2026-03-23,③PoC,国,財務省,財務省「源内」における生成AI アプリケーション構築等にかかる検証業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU3MDAyNA==
2026-03-23,⑤運用,国,デジタル庁,令和8年度国・地方共通相談チャットボット運用・保守,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTUxNzA1OQ==
2026-03-25,④構築,都道府県,岐阜県,【令和８年度】教育用生成AI文章添削システムの調達について,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMDQxMw==
2026-03-25,⑤運用,国,会計検査院,生成ＡＩ活用のためのアプリケーション運用保守等業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTU2ODA5Ng==
2026-03-27,⑤運用,市区町村,神戸市,生成AIを活用した仕様書作成支援クラウドサービスの構築・運用業務（3月3日（火曜）まで）,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTYwMjY1OQ==
2026-04-21,④構築,国,衆議院,衆議院法制局における生成AI利活用に関する調査及び利用支援業務,競争・公募,,https://www.nyusatsu-king.com/usermenu/anken_detail_csv/?csv_key=MjAyNk4yMTQxNTc4Mg==
