通番,情報種別,市外局番,電話番号,電番略符号,カナ名称,漢字名称,法人種類コード,住所コード,都道府県名,市区郡町村名,大字通称名,字丁目名,街区番号,郵便番号,基本分類コード,基本分類名,TP分類コード,TP分類名
00000001,0,011,978-2712,,旭川ラーメン 南二条西,旭川ラーメン 南二条西,0,01101947427,北海道,札幌市中央区,南二条西,2丁目,12-29,0800973,52,そば・うどん店,5299,ラーメン店
00000002,0,011,272-9573,,旭川ラーメン 本店,旭川ラーメン 本店,1,01101929334,北海道,札幌市中央区,南五条西,4丁目,9-2,0520511,52,そば・うどん店,5299,ラーメン店
00000003,0,011,484-7570,,味噌一番,味噌一番,0,01101784387,北海道,札幌市中央区,南六条西,1丁目,11-24,0140993,52,そば・うどん店,5299,ラーメン店
00000004,0,011,799-5764,,極味,極味,0,01101947162,北海道,札幌市中央区,北二条西,6丁目,3-27,0910173,52,そば・うどん店,5299,ラーメン店
00000005,0,011,546-6201,,北の味 南四条西,北の味 南四条西,1,01101972224,北海道,札幌市中央区,南四条西,9丁目,13-28,0990831,52,そば・うどん店,5299,ラーメン店
00000006,0,011,221-7715,,味噌一番,味噌一番,0,01101189857,北海道,札幌市中央区,北三条西,6丁目,13-20,0680625,52,そば・うどん店,5299,ラーメン店
00000007,0,011,669-4406,,極味 本店,極味 本店,0,01101924878,北海道,札幌市中央区,南二条西,2丁目,1-28,0590120,52,そば・うどん店,5299,ラーメン店
00000008,0,011,643-7705,,北の味,北の味,0,01101297101,北海道,札幌市中央区,北三条西,6丁目,20-24,0360745,52,そば・うどん店,5299,ラーメン店
00000009,0,011,288-1059,,旭川ラーメン 中央区,旭川ラーメン 中央区,1,01101110211,北海道,札幌市中央区,南三条西,4丁目,5-5,0840454,52,そば・うどん店,5299,ラーメン店
00000010,0,011,914-9528,,味噌一番 支店,味噌一番 支店,0,01101221233,北海道,札幌市中央区,大通西,4丁目,13-13,0800318,52,そば・うどん店,5299,ラーメン店
00000011,0,011,642-2162,,函館塩ラーメン 中央区,函館塩ラーメン 中央区,1,01101410133,北海道,札幌市中央区,北三条西,1丁目,19-6,0720156,52,そば・うどん店,5299,ラーメン店
00000012,0,011,688-4417,,札幌ラーメン 本店,札幌ラーメン 本店,0,01101769919,北海道,札幌市中央区,北二条西,9丁目,10-7,0720662,52,そば・うどん店,5299,ラーメン店
00000013,0,011,847-4810,,味噌一番 支店,味噌一番 支店,0,01101964069,北海道,札幌市中央区,南三条西,6丁目,16-14,0140959,52,そば・うどん店,5299,ラーメン店
00000014,0,011,927-8257,,極味 本店,極味 本店,1,01101134320,北海道,札幌市中央区,南五条西,8丁目,6-24,0510814,52,そば・うどん店,5299,ラーメン店
00000015,0,011,904-8941,,極味 支店,極味 支店,0,01101308309,北海道,札幌市中央区,北一条西,6丁目,17-17,0250743,52,そば・うどん店,5299,ラーメン店
00000016,0,011,969-8166,,函館塩ラーメン 南一条西,函館塩ラーメン 南一条西,1,01101108479,北海道,札幌市中央区,南一条西,6丁目,1-25,0500336,52,そば・うどん店,5299,ラーメン店
00000017,0,011,329-6645,,味噌一番 中央区,味噌一番 中央区,0,01101674408,北海道,札幌市中央区,南三条西,2丁目,3-11,0940619,52,そば・うどん店,5299,ラーメン店
